year_month,staging_cnt,sheets_cnt,diff
"20 2_01",217,0,217
"20 2_02",440,0,440
"20 2_03",488,0,488
"20 2_05",362,0,362
"20 2_06",464,0,464
"20 2_08",343,0,343
"20 2_09",492,0,492
"20 2_10",402,0,402
"20 2_11",350,0,350
"20 2_12",239,0,239
2023_08,2166,0,2166
2023_09,2589,0,2589
2023_10,2999,0,2999
2023_11,2802,0,2802
2023_12,2447,0,2447
2024_01,2436,0,2436
2024_02,10559,0,10559
2024_03,11639,0,11639
2024_04,11434,0,11434
2024_05,7095,0,7095
2024_06,8050,0,8050
2024_07,10528,0,10528
2024_08,7551,0,7551
2024_09,6739,0,6739
2024_10,9998,0,9998
2024_11,8571,0,8571
2024_12,8253,0,8253
2025_01,8277,0,8277
